word	hanja	syn	def	pos	level 	
끄다		불을 ~	Put out or  extinguish	2	A	
끝나다			To draw to a close or  to end	2	A	
끝내다			To end	2	A	
나가다			To go out	2	A	
깎다			Cut or  trim	2	A	
걱정하다			To worry or  be anxious	2	A	
늦다			Be late, overdue	2	A	
다녀오다			Drop in for a short visit	2	A	
다니다			Go to and from a aplace	2	A	
넣다			Put in, set in	2	A	
노래하다			To sing	2	A	
놀다			Play, amuse oneself	2	A	
나오다			Come out	2	A	
날다			To fly	2	A	
내려가다			To go down	2	A	
내려오다			Come down	2	A	
내리다		눈이 ~	Descend	2	A	
바쁘다			Busy	4	A	
주다			To give, to do for a person	도	A	
마시다			To drink	2	A	
싶다			want,hope	보	A	
놓다			Put, place	보	A	
나가다			To advance, proceed, go forward	보	A	
그래		그리하여	Yes or  that’s right	불	A	
그래서		그리하여서	So or  therefore	불	A	
귀			Ear	1	A	
하다			To do	보	A	
않다			To not be, to not do	2	A	
기다리다			To wait	2	A	
울다		울음을 ~	To cry, weep	2	A	
웃다			To laugh, smile	2	A	
입다		옷을 ~	To wear	2	A	
잊다			To forget	2	A	
잊어버리다			To forget	2	A	
일하다			To work, labor	2	A	
읽다			To read	2	A	
잃다			To lose, to miss, to be deprived	2	A	
잃어버리다			To lose	2	A	
켜다		성냥을 ~	To light, turn on, kindle	2	A	
크다			To be big, large	2	A	
태어나다			To be born, see the light of day	2	A	
추다		춤을 ~	To dance	2	A	
춤추다			To dance	2	A	
찾다			seek,look for	2	A	
찍다		서류에 도장을 ~	Stamp with a dojang	2	A	
지우다		낙서를 ~	To erase	2	A	
지내다			To pass, spend time	2	A	
죽다		굶어 ~	die,pass away	2	A	
좋아하다			To like, be fond of	2	A	
적다		답을 ~	Write down	2	A	
잠자다			Fall asleep	2	A	
잡다			seize,catch	2	A	
잡수시다			eat,drink	2	A	
잘하다			To do well	2	A	
자다			To sleep	2	A	
올라가다			To go up, ascend	2	A	
오다			To come	2	A	
오르다			Go up, climb, ascend	2	A	
열다		문을 ~	Open	2	A	
얘기하다			To tell a story	2	A	
안다			To hold, embrace	2	A	
안되다		공부가 ~	Must not, should not	2	A	
앉다			To sit down	2	A	
알다			To know	2	A	
쓰다		글씨를 ~	To write	2	A	
쓰다		모자를 ~	To wear (a hat)	2	A	
쓰다		약을 ~	Take (medicine)	2	A	
씻다			To wash,cleanse	2	A	
싫어하다			To dislike, be reluctant (to do)	2	A	
싸우다			To fight	2	A	
신다			Put on, wear	2	A	
서다			To stand	2	A	
살다			To live	2	A	
사랑하다			To love	2	A	
불다		바람이 ~	Blow	2	A	
부르다		이름을 ~	To call	2	A	
보내다			Send	2	A	
배우다			To learn	2	A	
바꾸다			change,exchange	2	A	
받다		선물을 ~	Receive	2	A	
예			Yes, certainly, right	10	A	
물어보다			Ask	2	A	
못하다			Be impossible	2	A	
모르다			To not know	2	A	
말다		그만두다	Cease	2	A	
말씀하다			Speak	2	A	
말하다			Speak	2	A	
도와주다			To help	2	A	
닦다			Wipe clean, polish	2	A	
닫다			To close	2	A	
백화점	百貨店		Department store	1	A	
첫째			The first	9	A	
첫째			The first	6	A	
취미	趣味		Hobby	1	A	
사다			To buy, purchase	2	A	
묻다		길을 ~	to Ask	2	A	
의사	醫師		A doctor, a physician	1	A	
계시다			(someone esteemed) to stay or  be located	2	A	
계시다			(honorofic) to stay or  reside	보	A	
머리			Head	1	A	
생기다			arise,occur,happen	2	A	
일주일	一週日		One whole day	1	A	
벗다			Take off, remove	2	A	
가다			To go	2	A	
오른쪽			The right side	1	A	
시계	時計		clock, timekeeper, timepiece	1	A	
없다			Do not exist, absent	4	A	
맥주	麥酒		Beer	1	A	
하나			One	9	A	
하나			One	1	A	
내다		참아 ~	to see through, to make it through sth	보	A	
내다		길을 ~	produce something	2	A	
가장			Most	3	A	
먼저			First	3	A	
일어나다			To rise, get up	2	A	
주	週		One week	5	A	
배		열매	Pear	1	A	
배		신체의 일부	Abdomen	1	A	
배		~를 띄우다	A boat (boating)	1	A	
센티미터		centimeter	Centimeter	5	A	
이야기			Conversation, talk	1	A	
이야기하다			To talk	2	A	
생각			Thought	1	A	
생각하다			To think	2	A	
가지다			To have or  take or  hold	2	A	
가지다			Entertain or  hold or  have	보	A	
어른			A man, an adult	1	A	
거리		길~	A road or  street	1	A	
운동	運動		Motion, movement	1	A	
운동장	運動場		Stadium, playground	1	A	
보다		한층 더	More than, greater than ....	3	A	
보다			To see	보	A	
보다			To try	2	A	
버리다			(following a verb) the verb\\'s action is over, perhaps in a sad way	보	A	
남동생	男-		Younger brother	1	A	
메뉴		menu	Menu	1	A	
놀라다			Be surprised	2	A	
잎			A leaf	1	A	
양복	洋服		Western European style clothing	1	A	
모두			Everybody	3	A	
모두			everything	1	A	
아주머니			An aunt, a respectable word for a married, older woman	1	A	
언니			Older sister	1	A	
